G5oh_A01_n4	G6oh_A02_n3	G6oh_A03_n6	G6oh_A03_n7	G6oh_A03_n3	G7oh_A03_n4	G8oh_A01_n2	G8oh_A01_n3	G8oh_A03_n3
12.7103	28.733	13.8995	12.7576	14.9816	12.2778	120.899	16.8739	10.3823
12.8825	28.9997	13.9882	12.8387	15.11864	12.3562	120.97	17.2502	10.4926
12.9962	29.323	14.2368	13.0293	15.2716	12.4654	121.053	17.3481	10.5647
13.1445	29.6135	14.3233	13.1418	15.46208	12.5918	121.09	17.5739	10.6372
13.2482	29.8438	14.5242	13.2743	15.596	12.6686	122.867	17.8387	10.6902
13.372	30.154	14.633	13.3792	15.6976	12.765	123.044	18.0764	10.9341
13.5262	30.4381	14.7284	13.583	15.8436	12.8536	123.124	18.2251	10.986
13.6178	30.7074	14.827	13.724	15.96008	13.0242	124.128	18.3959	11.0849
13.7417	31.025	14.9448	13.8375	16.11016	13.1151	124.207	18.5926	11.1548
13.8357	31.282	15.0552	14.0647	16.30224	13.2048	124.255	18.769	11.2238
13.9903	31.4697	15.1866	14.2878	16.46056	13.3686	125.854	18.9312	11.5439
14.1061	31.6634	15.2921	14.4091	16.59368	13.4608	126.05	19.0506	11.589
14.2165	31.9439	15.6392	14.5725	16.73704	13.5651	126.234	19.2429	11.6138
14.3334	32.2744	15.744	14.711	16.87904	13.6817	126.362	19.3676	11.7334
14.4704	32.5157	15.837	14.8187	17.03792	13.7971	127.522	19.5096	11.9549
14.6253	32.6835	15.9032	14.9896	17.16616	13.8566	127.709	19.6174	12.0142
14.7206	33.0228	16.0689	15.0802	17.31872	13.9804	127.835	19.7238	12.053
14.8715	33.2928	16.2348	15.2626	17.47144	14.3459	127.95	19.8991	12.1033
14.9638	33.4781	16.3581	15.389	17.63912	14.4218	129.084	19.9927	12.1546
15.0993	33.6914	16.5918	15.4935	17.79864	14.5034	129.501	20.2003	12.2288
15.2186	34.0466	16.6882	15.6638	17.95536	14.5544	129.57	20.2946	12.3339
15.3501	34.296	16.89	15.7802	18.07632	14.6115	130.129	20.4429	12.4302
15.4878	34.637	17.0246	15.9304	18.20992	14.6554	130.194	20.5093	12.5079
15.5824	34.9255	17.1422	16.0729	18.40264	14.8243	130.242	20.82	12.5332
15.6867	35.2122	17.2577	16.2355	18.66056	15.0891	131.32	21.1559	12.7506
15.8322	35.5394	17.5131	16.3788	18.82056	15.2356	131.474	21.4307	12.7883
15.9929	35.7682	17.654	16.4573	18.9136	15.3782	131.558	22.0818	12.826
16.0698	36.0676	17.768	16.6088	19.03704	15.7478	133.084	22.3516	12.8894
16.1925	36.3667	17.9855	16.7555	19.25416	16.0268	133.346	22.5632	12.9779
16.3549	36.6265	18.1798	16.9178	19.416	16.1287	133.537	22.7594	13.142
16.5234	36.8783	18.3134	17.0025	19.55816	16.628	133.594	22.981	13.2702
16.6059	37.1864	18.6289	17.126	19.71992	16.7463	134.696	23.2505	13.2925
16.7358	37.4603	18.79	17.3002	19.82216	16.821	134.811	23.4655	13.3983
16.8822	37.8001	18.9061	17.4502	19.9484	17.226	135.062	23.6469	14.0769
16.9672	38.0599	19.169	17.5586	20.13192	17.4546	135.859	23.8105	14.114
17.0946	38.3392	19.3994	17.7441	20.26536	17.6797	135.931	23.9992	14.1664
17.1946	38.6366	19.6207	17.8887	20.416	18.0572	135.975	24.1613	14.2464
17.3335	39.0566	19.8038	18.0697	20.57392	18.3399	136.03	24.3259	14.3482
17.501	39.2903	19.9847	18.1738	20.70816	18.7665	137.918	24.4955	14.4096
17.6292	39.5705	20.2707	18.3006	20.854	19.265	138.016	24.6764	14.487
17.7515	39.8104	20.4518	18.401	21.026	19.6406	138.273	24.7721	14.5282
17.8854	40.1023	20.675	18.5009	21.17536	19.9673	138.651	24.9394	14.5776
17.9842	40.4655	20.8829	18.6926	21.32464	20.221	139.601	25.1039	14.6546
18.2172	40.7289	21.1222	18.8517	21.51608	20.6482	139.672	25.2102	14.7173
18.3709	40.9694	21.2718	18.943	21.67408	20.7763	139.78	25.3197	14.7832
18.4662	41.2352	21.4262	19.102	21.8388	21.5525	139.833	25.5042	14.9331
18.597	41.595	21.6866	19.1699	22.0292	22.1354	139.874	25.5902	14.9717
18.7274	41.8854	21.9396	19.295	22.1636	22.6742	141.036	25.6957	15.1946
18.8546	42.131	22.051	19.4753	22.39216	23.0322	141.206	25.8516	15.3038
18.9706	42.3255	22.2374	19.6186	22.50376	23.3301	141.341	26.1551	15.365
19.1042	42.6781	22.3767	19.7278	22.6148	23.7472	142.465	26.6467	15.3974
19.2348	42.9852	22.5462	19.8377	22.83232	24.1797	142.526	27.0398	15.6287
19.3748	43.2411	22.7962	20.0141	22.97248	24.5002	142.664	27.2511	15.697
19.4782	43.5928	22.9862	20.1698	23.11048	24.6801	143.802	27.5392	15.7362
19.5675	44.2647	23.0758	20.2595	23.26576	24.9267	144.216	27.6514	15.7617
19.7118	44.4963	23.2834	20.3654	23.39552	25.1571	144.311	27.7265	16.2314
19.8901	44.817	23.4668	20.476	23.56072	25.2638	144.371	28.1098	16.2975
19.9949	45.1618	23.6858	20.5634	23.71552	25.4421	144.457	28.3164	16.3426
20.1173	45.377	23.8	20.6952	23.91152	25.5797	144.584	28.513	16.3923
20.2298	45.5979	24.0495	20.868	24.04288	25.7223	144.663	28.7288	16.4842
20.3414	45.9382	24.1261	20.9672	24.1648	25.8425	144.719	28.8526	16.542
20.4572	46.2255	24.2952	21.0922	24.30544	26.086	146.048	29.0332	16.6006
20.5721	46.51	24.3794	21.2191	24.54592	26.2146	146.344	29.1849	16.6457
20.7389	46.7806	24.5615	21.303	24.63304	26.3188	147.022	29.3646	16.8221
20.8996	47.1058	24.6502	21.3917	24.76544	26.4985	147.921	29.5133	16.9097
20.9952	47.3646	24.7821	21.5928	24.94528	26.6914	147.985	29.6698	16.9369
21.1016	47.584	24.9483	21.6644	25.02176	26.9417	148.222	29.843	17.0719
21.2539	47.9294	25.2925	21.769	25.27184	27.1297	149.471	30.0088	17.1247
21.3929	48.18	25.5107	21.8574	25.41304	27.4582	149.714	30.191	17.1468
21.627	48.4467	25.6308	21.987	25.5912	27.5554	150.078	30.3057	17.2722
21.7169	48.7544	25.7906	22.0719	25.71008	27.8982	150.353	30.4218	17.3057
21.926	49.1042	26.0102	22.1961	25.8728	28.0967	150.395	30.4975	17.4137
22.0458	49.3567	26.1252	22.3769	26.01168	28.4114	150.451	31.1599	17.4854
22.1994	49.5909	26.2798	22.4837	26.20488	28.4845	152.078	31.4238	17.5335
22.2699	49.9437	26.3756	22.5589	26.31152	28.7463	152.554	31.7312	17.7698
22.426	50.2601	26.5186	22.6533	26.49896	29.0216	152.701	31.8822	17.804
22.527	50.583	26.6674	22.8138	26.6	29.2459	153.851	32.0525	17.8561
22.6921	50.8964	26.8181	22.96	26.71912	29.5399	154.115	32.2551	18.4949
22.7833	51.2454	26.9378	23.0446	26.9596	29.7777	154.526	32.4038	19.1511
22.934	51.5088	27.1383	23.2253	27.06768	29.8861	155.958	32.655	19.337
23.0246	51.7831	27.2362	23.3103	27.19104	30.1653	156.039	32.8141	19.3915
23.173	52.0302	27.3273	23.4366	27.35792	30.3448	156.156	33.032	19.4398
23.2902	52.2665	27.4844	23.5449	27.4632	30.4464	157.646	33.267	19.5066
23.4192	52.5482	27.5794	23.6923	27.6724	30.6532	157.808	33.4832	19.6618
23.5582	52.8823	27.6999	23.7681	27.76744	30.7419	159.832	33.622	19.814
23.6245	53.1562	27.877	23.895	27.98608	30.9056	159.932	33.8086	19.9859
23.7978	53.4293	28.0079	23.9924	28.06552	31.0325	160.036	33.9632	20.036
23.9124	53.7409	28.095	24.1164	28.21848	31.2102	161.345	34.145	20.0865
24.0172	53.9845	28.2018	24.2156	28.34568	31.3498	162.057	34.3282	20.1903
24.2319	54.2938	28.3691	24.3173	28.48536	31.4603	162.281	34.4751	20.2806
24.3794	54.5852	28.481	24.423	28.63544	31.5981	163.453	34.654	20.3573
24.4942	54.8758	28.6106	24.5488	28.78744	31.7349	163.711	34.7587	20.431
24.6438	55.159	28.7176	24.6697	29.02456	31.8465	163.813	34.9907	20.5034
24.838	55.4558	28.8079	24.7454	29.12064	31.9487	165.142	35.1022	20.5641
24.9237	55.7414	29.0436	24.9017	29.31488	32.1247	165.965	35.2897	20.6746
25.1185	56.09	29.1391	25.0236	29.41112	32.219	167.2	35.4486	20.758
25.2125	56.3143	29.2276	25.1408	29.50632	32.3748	167.95	35.7102	20.7765
25.2989	56.5974	29.3949	25.2739	29.68608	32.474	168.731	36.1679	20.9773
25.4559	56.8686	29.466	25.3612	29.85864	32.5833	168.935	36.3832	21.025
25.5875	57.1751	29.5502	25.4805	30.08112	32.7286	170.368	36.6285	21.042
25.7275	57.436	29.7451	25.6218	30.2124	32.87	170.495	36.8744	21.1871
25.86	57.7198	29.86	25.7322	30.33544	32.9661	170.562	37.1482	21.2486
26.019	58.0026	29.9753	25.8785	30.45976	33.0766	172.323	37.3318	21.321
26.1451	58.3506	30.115	25.959	30.64008	33.1955	173.702	37.4958	21.3811
26.2354	58.6061	30.3699	26.1363	30.79904	33.2886	174.515	37.6837	21.4794
26.3932	58.913	30.4253	26.2258	30.90776	33.378	174.766	37.8542	21.5287
26.527	59.2012	30.6486	26.3267	31.00104	33.577	174.795	38.0196	21.5746
26.6362	59.5162	30.8595	26.5166	31.21376	33.6382	176.089	38.2041	21.7751
26.7452	59.7994	30.9422	26.6067	31.33752	33.6958	177.474	38.3719	21.9014
26.8658	60.0551	31.1236	26.7546	31.48952	33.8578	179.651	38.4953	22.0629
27.0439	60.3136	31.4424	26.8563	31.66673	34.0961	180.066	38.6985	22.093
27.1288	60.6266	31.5747	26.9608	31.82688	34.155	181.437	38.825	22.1662
27.3236	60.9238	31.6821	27.1234	31.96712	34.2088	182.696	39.0342	22.2124
27.4416	61.3161	31.8341	27.2539	32.09248	34.493	183.067	39.1584	22.3414
27.5596	61.5293	32.0019	27.3314	32.23977	34.5341	183.189	39.368	22.3669
27.6736	61.8143	32.1347	27.4383	32.33648	34.9578	184.269	39.4963	22.4439
27.8446	62.1041	32.2709	27.5536	32.49321	35.2719	185.548	39.6235	22.489
27.9521	62.456	32.351	27.621	32.65808	35.4175	186.858	39.8694	22.5712
28.0902	62.7019	32.5786	27.7914	32.8372	35.5968	186.932	40.1197	22.6722
28.1916	63.0211	32.7877	27.888	32.93616	35.7525	187.314	40.3747	22.8674
28.3127	63.2939	32.9434	28.0082	33.1144	35.8118	187.997	40.6168	22.8915
28.4286	63.6373	33.0493	28.1695	33.25208	35.9174	188.707	40.9463	22.9935
